model,se_type,race,pr,conf_low,conf_high,p_value
M0,HC0,Black,1.2333035506519434,1.116068232785992,1.3628536350808869,3.875041133801079e-5
M0,HC0,Brown,1.2974361704322528,1.2216873897360916,1.3778816336227748,2.1784393194926465e-17
M0,HC0,Yellow,1.48816008663849,1.0790477756748214,2.052384049518925,0.015356312282681936
M0,HC0,Indigenous,2.410117850482157,2.1002473055565187,2.7657067040843395,5.220985850983925e-36
M0,HC1,Black,1.2333035506519434,1.11604351131034,1.3628838236466694,3.8903958536337004e-5
M0,HC1,Brown,1.2974361704322528,1.221671091703335,1.3779000156244052,2.2139561367543538e-17
M0,HC1,Yellow,1.48816008663849,1.0789708546418584,2.052530366261816,0.015379050660927684
M0,HC1,Indigenous,2.410117850482157,2.100183208519085,2.765791112723273,5.407040345577427e-36
M0,HC3,Black,1.2333035506519434,1.1159748037714912,1.3629677327035254,3.933340179965665e-5
M0,HC3,Brown,1.2974361704322528,1.2216700001133052,1.37790124680952,2.2163546985074232e-17
M0,HC3,Yellow,1.48816008663849,1.0724336914539816,2.065041839986718,0.017389125246345883
M0,HC3,Indigenous,2.410117850482157,2.097905592795753,2.7687938261663483,1.8499098332596826e-35
M1,HC0,Black,1.1819518491726106,1.0685612250851337,1.3073749458307848,0.0011592154570438328
M1,HC0,Brown,1.1392049515266705,1.0654021700974594,1.2181202160158602,1.36793959840076e-4
M1,HC0,Yellow,1.3890216588385487,1.0200863375699525,1.891390069313899,0.036954778788312374
M1,HC0,Indigenous,1.7596498306280446,1.5170547915365324,2.0410386913535166,8.229482693374098e-14
M1,HC1,Black,1.1819518491726106,1.0684894820845807,1.3074627286335494,0.0011680536993164043
M1,HC1,Brown,1.1392049515266705,1.0653546651403685,1.2181745329025147,1.3820599428130868e-4
M1,HC1,Yellow,1.3890216588385487,1.019876710403892,1.8917788287944326,0.0370806185731675
M1,HC1,Indigenous,1.7596498306280446,1.516904978004849,2.0412402697114813,8.545838282538215e-14
M1,HC3,Black,1.1819518491726106,1.0683799667369316,1.307596751396726,0.0011816435592024404
M1,HC3,Brown,1.1392049515266705,1.0653191898289365,1.218215098323044,1.3926820484028024e-4
M1,HC3,Yellow,1.3890216588385487,1.0137116843394867,1.9032839401271555,0.04088024179366567
M1,HC3,Indigenous,1.7596498306280446,1.515074488133886,2.0437064650485244,1.3472973350344415e-13
M2,HC0,Black,1.1146537187500731,1.0077563344500404,1.232890203961265,0.03484028677441012
M2,HC0,Brown,1.0709703269547437,1.0010264159260271,1.1458013724408138,0.046616111794345105
M2,HC0,Yellow,1.3701107376622568,1.0110587782954161,1.8566709213704313,0.04226174016174491
M2,HC0,Indigenous,1.5491941384849242,1.3373693368010768,1.7945696919122855,5.370704350261189e-9
M2,HC1,Black,1.1146537187500731,1.007679670509465,1.23298400184575,0.03497751088737678
M2,HC1,Brown,1.0709703269547437,1.0009753998487076,1.1458597697714756,0.04678170911882475
M2,HC1,Yellow,1.3701107376622568,1.0108269509230472,1.8570967382134254,0.04241734926190408
M2,HC1,Indigenous,1.5491941384849242,1.3372209651046347,1.794768808854452,5.51427230667196e-9
M2,HC3,Black,1.1146537187500731,1.007567963171422,1.2331207006747424,0.035177932874446476
M2,HC3,Brown,1.0709703269547437,1.000934283811392,1.1459068390085017,0.046915354881851126
M2,HC3,Yellow,1.3701107376622568,1.0047701466966625,1.8682914093626388,0.0465826685374307
M2,HC3,Indigenous,1.5491941384849242,1.3356212267717804,1.7969184905191222,7.302898161940441e-9
