model,se_type,race,pr,conf_low,conf_high,p_value
M2,HC0,Black,1.1146537187500731,1.0077563344500404,1.232890203961265,0.03484028677441012
M2,HC1,Black,1.1146537187500731,1.007679670509465,1.23298400184575,0.03497751088737678
M2,HC3,Black,1.1146537187500731,1.007567963171422,1.2331207006747424,0.035177932874446476
M2,HC0,Brown,1.0709703269547437,1.0010264159260271,1.1458013724408138,0.046616111794345105
M2,HC1,Brown,1.0709703269547437,1.0009753998487076,1.1458597697714756,0.04678170911882475
M2,HC3,Brown,1.0709703269547437,1.000934283811392,1.1459068390085017,0.046915354881851126
M2,HC0,Indigenous,1.5491941384849242,1.3373693368010768,1.7945696919122855,5.370704350261189e-9
M2,HC1,Indigenous,1.5491941384849242,1.3372209651046347,1.794768808854452,5.51427230667196e-9
M2,HC3,Indigenous,1.5491941384849242,1.3356212267717804,1.7969184905191222,7.302898161940441e-9
M2,HC0,Yellow,1.3701107376622568,1.0110587782954161,1.8566709213704313,0.04226174016174491
M2,HC1,Yellow,1.3701107376622568,1.0108269509230472,1.8570967382134254,0.04241734926190408
M2,HC3,Yellow,1.3701107376622568,1.0047701466966625,1.8682914093626388,0.0465826685374307
